subregion_key,metric_key,score,component,even
AK,extrisk_bird_ecoregion_rescaled,36.06540317046426,bird,1
GA,extrisk_bird_ecoregion_rescaled,63.74821855863359,bird,1
PA,extrisk_bird_ecoregion_rescaled,57.99337273853025,bird,1
USA,extrisk_bird_ecoregion_rescaled,38.94754517484127,bird,1
AK,extrisk_coral_ecoregion_rescaled,15.09208377494495,coral,1
GA,extrisk_coral_ecoregion_rescaled,10.40960387839383,coral,1
PA,extrisk_coral_ecoregion_rescaled,12.174334350010449,coral,1
USA,extrisk_coral_ecoregion_rescaled,14.52952925527546,coral,1
AK,extrisk_fish_ecoregion_rescaled,17.534846394472424,fish,1
GA,extrisk_fish_ecoregion_rescaled,28.41589494989635,fish,1
PA,extrisk_fish_ecoregion_rescaled,16.916036472192687,fish,1
USA,extrisk_fish_ecoregion_rescaled,18.076201106780914,fish,1
AK,extrisk_invertebrate_ecoregion_rescaled,19.73781182596684,invertebrate,1
GA,extrisk_invertebrate_ecoregion_rescaled,28.160058080369044,invertebrate,1
PA,extrisk_invertebrate_ecoregion_rescaled,12.14016632770156,invertebrate,1
USA,extrisk_invertebrate_ecoregion_rescaled,19.625371850439183,invertebrate,1
AK,extrisk_mammal_ecoregion_rescaled,39.28345225733552,mammal,1
GA,extrisk_mammal_ecoregion_rescaled,42.72035845036564,mammal,1
PA,extrisk_mammal_ecoregion_rescaled,60.04278225820785,mammal,1
USA,extrisk_mammal_ecoregion_rescaled,40.89182017501246,mammal,1
AK,extrisk_other_ecoregion_rescaled,20.281827757987465,other,1
GA,extrisk_other_ecoregion_rescaled,22.076462364946266,other,1
PA,extrisk_other_ecoregion_rescaled,10.467388354500498,other,1
USA,extrisk_other_ecoregion_rescaled,19.689654521560673,other,1
AK,extrisk_turtle_ecoregion_rescaled,67.03359146888418,turtle,1
GA,extrisk_turtle_ecoregion_rescaled,49.634924059705504,turtle,1
PA,extrisk_turtle_ecoregion_rescaled,20.991240167014713,turtle,1
USA,extrisk_turtle_ecoregion_rescaled,56.783513599145294,turtle,1
AK,primprod_ecoregion_rescaled,5.770078831967999,primprod,1
GA,primprod_ecoregion_rescaled,9.29923656387546,primprod,1
PA,primprod_ecoregion_rescaled,9.484094567352583,primprod,1
USA,primprod_ecoregion_rescaled,6.2063282097102785,primprod,1
