sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
other,Fis-23274,Sphyrna mokarran,Great hammerhead,105817,NA,CR,1,78.06009030673148,78.06009030673148,0.0015606398004543152
sea turtle,Rep-5413,Lepidochelys kempii,Kemp's ridley turtle,137208,NA,CR,1,72.05260519786472,72.05260519786472,0.0014405333500941675
other,Fis-30583,Rhincodon typus,Whale shark,105847,NA,EN,0.8,88.79621689785624,71.036973518285,0.0014202280286997634
other,Fis-61508,Mobula kuhlii,Shortfin devil ray,217436,2419221,EN,0.8,87.4961778029445,69.9969422423556,0.0013994348910470297
fish,Fis-24675,Hippoglossoides platessoides,American plaice,127137,NA,EN,0.8,87.0059637912673,69.60477103301385,0.001391594290357406
other,Fis-29423,Isurus paucus,Longfin mako,105840,NA,EN,0.8,85.78166452651433,68.62533162121147,0.0013720125537467255
other,W-Scl-287916,Agaricia tenuifolia,thin leaf lettuce coral,287916,NA,CR,1,66.6471264367816,66.6471264367816,0.0013324626924519829
fish,Fis-22845,Anguilla rostrata,American eel,158562,NA,EN,0.8,76.96706350156897,61.573650801255184,0.0012310297070131358
other,Fis-47467,Pristis pectinata,Smalltooth sawfish,105848,NA,CR,1,60.771127233642346,60.771127233642346,0.0012149850135532926
other,W-Scl-287107,Madracis decactis,ten-ray star coral,287107,NA,CR,1,60.75730994152047,60.75730994152047,0.0012147087671905844
fish,Fis-22711,Anguilla anguilla,European eel,126281,NA,CR,1,59.22844049167913,59.22844049167913,0.0011841423855255696
other,W-Scl-287915,Agaricia lamarcki,Lamarck's sheet coral,287915,NA,CR,1,57.02859237536657,57.02859237536657,0.0011401612613457044
mollusk,W-Msc-445325,Haliotis fulgens,green abalone,445325,NA,CR,1,56.704026845637586,56.704026845637586,0.0011336722875108008
marine mammal,ITS-Mam-612591,Eubalaena japonica,North Pacific right whale,254974,9747921,EN,0.8,69.54801373007717,55.63841098406174,0.0011123676423453153
sea turtle,Rep-4127,Eretmochelys imbricata,hawksbill turtle,137207,NA,CR,1,54.233489457808496,54.233489457808496,0.0010842793267698365
other,W-Ase-240764,Pycnopodia helianthoides,sunflower star,240764,NA,CR,1,53.52561225859655,53.52561225859655,0.0010701268792568592
other,W-Scl-207149,Montipora patula,NA,207149,NA,CR,1,53.437155297532655,53.437155297532655,0.001068358376895139
other,Fis-131864,Leucoraja ocellata,Winter skate,158553,NA,EN,0.8,66.321376842464,53.05710147397121,0.0010607600366801305
other,Fis-23273,Sphyrna lewini,Scalloped hammerhead,105816,NA,CR,1,52.838133464553,52.838133464553,0.0010563822529857804
other,Fis-23069,Carcharhinus signatus,Night shark,105798,NA,EN,0.8,66.04287832481012,52.8343026598481,0.0010563056644721524
other,Fis-58485,Isurus oxyrinchus,Shortfin mako,105839,NA,EN,0.8,64.89559761283522,51.91647809026818,0.0010379557811003451
other,Fis-23043,Carcharhinus acronotus,Blacknose shark,158508,NA,EN,0.8,64.87424988459763,51.89939990767811,0.001037614340405558
other,W-Scl-207516,Siderastrea siderea,massive starlet coral,207516,NA,CR,1,51.89763279445727,51.89763279445727,0.0010375790108637457
other,W-Scl-290426,Mycetophyllia ferox,rough cactus coral,290426,NA,CR,1,51.8409257898604,51.8409257898604,0.001036445279042649
mollusk,W-Msc-445357,Haliotis rufescens,red abalone,445357,NA,CR,1,51.01182624516716,51.01182624516716,0.0010198692573790507
fish,Fis-30636,Sebastes fasciatus,Acadian redfish,127252,10689065,EN,0.8,63.431688533941816,50.74535082715346,0.0010145416675497187
other,W-Scl-287853,Scolymia lacera,Atlantic mushroom coral,287853,NA,CR,1,50.710060312302055,50.710060312302055,0.0010138361113322047
fish,Fis-22836,Thunnus obesus,Bigeye tuna,127028,NA,VU,0.6,84.31237647619409,50.58742588571645,0.0010113843057259935
mollusk,W-Msc-405012,Haliotis cracherodii,black abalone,405012,NA,CR,1,50.29492143019813,50.29492143019813,0.001005536322546646
other,W-Scl-287852,Scolymia cubensis,artichoke coral,287852,NA,CR,1,50.218362603305785,50.218362603305785,0.0010040056972059016
fish,Fis-22722,Epinephelus striatus,Nassau grouper,159222,NA,CR,1,49.45696037160691,49.45696037160691,9.887831344049267e-4
fish,Fis-29447,Makaira nigricans,Blue marlin,126950,8098719,VU,0.6,81.40532919452866,48.8431975167172,9.765122961876314e-4
other,Fis-23061,Carcharhinus longimanus,Oceanic whitetip shark,105794,NA,CR,1,48.796749717152835,48.796749717152835,9.755836746044533e-4
other,Fis-29388,Carcharias taurus,Sand tiger shark,105843,NA,CR,1,48.578784332622014,48.578784332622014,9.71225936189298e-4
other,Fis-23067,Carcharhinus porosus,Smalltail shark,217342,NA,CR,1,47.56112255406797,47.56112255406797,9.508800274314189e-4
other,Fis-23898,Alopias superciliosus,Bigeye thresher,105835,NA,VU,0.6,78.35778504479903,47.01467102687942,9.399549311498437e-4
fish,Fis-22935,Pomatomus saltatrix,Bluefish,151482,NA,VU,0.6,77.93699066528374,46.76219439917025,9.349072163401487e-4
other,W-Scl-290083,Helioseris cucullata,hat coral,290083,NA,CR,1,46.54567541302235,46.54567541302235,9.305783954790833e-4
fish,Fis-30643,Sebastes paucispinis,Bocaccio rockfish,274833,NA,CR,1,46.54483515651614,46.54483515651614,9.305615963985156e-4
fish,Fis-22766,Istiophorus platypterus,Indo-Pacific sailfish,158812,NA,VU,0.6,76.99934077232453,46.199604463394714,9.236594680777998e-4
other,W-Scl-418865,Dendrogyra cylindrus,pillar coral,418865,NA,CR,1,46.13048196039425,46.13048196039425,9.222775156759301e-4
marine mammal,ITS-Mam-180537,Eubalaena glacialis,North Atlantic right whale,159023,NA,CR,1,45.103360370799535,45.103360370799535,9.017424788046087e-4
other,W-Hyd-287421,Millepora complanata,bladed fire coral,287421,NA,CR,1,44.72586348424576,44.72586348424576,8.941952589206905e-4
sea turtle,Rep-3437,Dermochelys coriacea,leatherback turtle,137209,NA,VU,0.6,74.16749665564248,44.50049799338549,8.896895716571551e-4
fish,Fis-30888,Sebastolobus alascanus,Shortspine thornyhead,282740,NA,EN,0.8,55.61217733555263,44.48974186844211,8.894745265986709e-4
other,W-Scl-288227,Acropora palmata,elkhorn coral,288227,NA,CR,1,44.45739804912446,44.45739804912446,8.888278830766421e-4
other,Fis-23242,Rhizoprionodon porosus,Caribbean sharpnose shark,271328,NA,VU,0.6,73.5082466645656,44.10494799873936,8.817814195875309e-4
fish,Fis-32303,Balistes capriscus,Grey triggerfish,NA,2407107,VU,0.6,72.09147105059817,43.2548826303589,8.64786232396875e-4
fish,Fis-29435,Lopholatilus chamaeleonticeps,Great northern tilefish,159406,NA,EN,0.8,53.619824776964585,42.89585982157167,8.576083610613107e-4
other,W-Hyd-210726,Millepora alcicornis,fire coral,210726,NA,EN,0.8,52.78777731268313,42.230221850146506,8.443003939962226e-4
other,W-Scl-287911,Agaricia agaricites,purple lettuce coral,287911,NA,VU,0.6,69.68573593483615,41.811441560901685,8.359278032847194e-4
other,Fis-24044,Gymnura altavela,Spiny butterfly ray,105856,NA,EN,0.8,51.823239796604696,41.45859183728376,8.288733492084608e-4
other,Fis-23275,Sphyrna tiburo,Bonnethead,158517,NA,EN,0.8,51.41643566127157,41.13314852901726,8.223668261225091e-4
other,W-Scl-206989,Acropora cervicornis,staghorn coral,206989,NA,CR,1,40.9520050922979,40.9520050922979,8.18745261558281e-4
other,Fis-22747,Cetorhinus maximus,Basking shark,105837,NA,EN,0.8,51.07097515595929,40.85678012476743,8.168414477945374e-4
fish,Fis-29588,Acipenser medirostris,Green sturgeon,271695,NA,EN,0.8,51.04464230887319,40.83571384709856,8.164202739110808e-4
other,Fis-27224,Pristis pristis,Common sawfish,105849,NA,CR,1,40.52361333638514,40.52361333638514,8.101805107126582e-4
marine mammal,ITS-Mam-180639,Odobenus rosmarus,walrus,137077,NA,VU,0.6,66.36521038856452,39.81912623313871,7.960958407114715e-4
fish,Fis-23099,Cynoscion regalis,Squeteague,159313,NA,EN,0.8,49.68494220556076,39.74795376444861,7.946729037548538e-4
marine mammal,ITS-Mam-180526,Balaenoptera borealis,sei whale,137088,NA,EN,0.8,49.56876003159155,39.65500802527325,7.928146581485557e-4
fish,Fis-22721,Epinephelus morio,Red grouper,159354,NA,VU,0.6,65.96710976620196,39.58026585972117,7.913203529552827e-4
other,Fis-23066,Carcharhinus plumbeus,Sandbar shark,105797,NA,EN,0.8,49.272783167099334,39.41822653367947,7.880807330616113e-4
other,Fis-172567,Mobula birostris,Giant manta,1026118,NA,EN,0.8,48.935793584474496,39.1486348675796,7.826908407064654e-4
fish,Fis-23648,Mycteroperca interstitialis,Yellowmouth grouper,273878,NA,VU,0.6,65.08237307949231,39.04942384769539,7.807073345938467e-4
other,Fis-29530,Sphyrna media,Scoophead,271379,NA,CR,1,38.857289099526064,38.857289099526064,7.768660229342642e-4
other,Fis-23322,Aetobatus narinari,Spotted eagle ray,217426,NA,EN,0.8,48.353757561445256,38.683006049156205,7.733816167046146e-4
fish,Fis-22720,Epinephelus itajara,Atlantic goliath grouper,159353,NA,VU,0.6,64.37009446279087,38.62205667767452,7.721630680893975e-4
fish,Fis-23633,Melanogrammus aeglefinus,Haddock,126437,NA,VU,0.6,63.69290332880977,38.21574199728586,7.640396998069407e-4
fish,Fis-30112,Hippocampus erectus,Lined seahorse,159445,NA,VU,0.6,63.31113411870051,37.9866804712203,7.59460118449476e-4
other,Fis-23077,Centrophorus uyato,Little gulper shark,105902,NA,EN,0.8,47.37889960294952,37.903119682359616,7.577895042810717e-4
fish,Fis-22723,Glyptocephalus cynoglossus,Witch flounder,127136,NA,VU,0.6,62.86379955694752,37.71827973416851,7.540940361010141e-4
fish,Fis-23622,Lutjanus campechanus,Northern red snapper,159795,NA,VU,0.6,62.50132537180167,37.500795223081,7.497459116926024e-4
sea turtle,Rep-2226,Chelonia mydas,green sea turtle,137206,NA,EN,0.8,46.708376449014345,37.36670115921148,7.470649958461421e-4
other,Fis-23198,Odontaspis ferox,Smalltooth sand tiger,105844,NA,EN,0.8,46.55832651407415,37.24666121125932,7.446650611332502e-4
other,Fis-24125,Mobula hypostoma,Lesser devil ray,158530,NA,EN,0.8,46.52374325969734,37.21899460775787,7.441119282532076e-4
other,Fis-23075,Centrophorus granulosus,Gulper shark,105899,NA,EN,0.8,46.22376858816597,36.97901487053277,7.393140612799001e-4
mollusk,W-Msc-420200,Conus anabathrum,Florida cone,420200,NA,VU,0.6,61.60195244245233,36.961171465471395,7.389573216450241e-4
other,W-Scl-287914,Agaricia humilis,low-life lettuce coral,287914,NA,CR,1,36.83448230582365,36.83448230582365,7.364244505702474e-4
other,Fis-171714,Pseudobatos lentiginosus,Atlantic guitarfish,1043479,NA,VU,0.6,61.35142203334423,36.810853220006535,7.35952038975159e-4
other,Fis-23194,Negaprion brevirostris,Lemon shark,105800,NA,VU,0.6,61.192560720855546,36.715536432513325,7.340463894732327e-4
other,Fis-23071,Carcharodon carcharias,Great white shark,105838,NA,VU,0.6,60.51570008111626,36.30942004866975,7.25926985694011e-4
other,W-Scl-289232,Meandrina meandrites,maze coral,289232,NA,CR,1,36.27660788381743,36.27660788381743,7.252709786332148e-4
marine mammal,ITS-Mam-180547,Enhydra lutris,sea otter,242598,NA,EN,0.8,45.25011913676901,36.20009530941521,7.23741278009271e-4
